country,region,polyarchy,gdp_pc,flfp,women_rep
Japan,Asia,0.83971875,35.67276666666667,49.7821875,8.5304
Jordan,Middle East,0.23984375,6.351966666666667,12.7884375,7.8652
Kazakhstan,Eastern Europe,0.2584516129032258,14.295,65.75031249999999,18.322
Kenya,Africa,0.40515625,2.4503333333333335,70.80375,11.6716
Kosovo,Eastern Europe,0.48626086956521736,5.62547619047619,NA,NA
Kuwait,Middle East,0.28521875,48.39836666666667,45.6996875,2.6728
Kyrgyzstan,Eastern Europe,0.3535625,3.7281666666666666,52.460625,14.9108
Laos,Asia,0.09553125,3.174933333333333,58.79375,24.46875
Latvia,Eastern Europe,0.7928125,16.823333333333334,52.6440625,20.4
Lebanon,Middle East,0.41203125,9.2534,22.4421875,3.3728000000000002
Lesotho,Africa,0.48643749999999997,2.3334333333333332,62.3434375,17.989583333333332
Liberia,Africa,0.43990625,0.8358,71.7846875,10.622727272727273
Libya,Middle East,0.14871875,14.141566666666666,32.256875,12.741875
Lithuania,Eastern Europe,0.82865625,17.889,54.6196875,19.9044
Luxembourg,The West,0.87534375,69.85243333333334,46.194375,23.1328
Madagascar,Africa,0.43365625,1.2293333333333334,83.725,12.704545454545455
Malawi,Africa,0.46953125,1.1302333333333334,73.0653125,15.385200000000001
Malaysia,Asia,0.30621875,17.245233333333335,45.8334375,10.662083333333333
Maldives,Asia,0.31815625,10.0372,35.030625,6.922916666666667
Mali,Africa,0.50625,1.586,59.5884375,11.79
Malta,The West,0.787375,25.249166666666667,34.7625,10.264
Mauritania,Africa,0.3443125,3.1185666666666667,27.01125,16.77809523809524
Mauritius,Africa,0.75196875,16.7717,41.161875,13.502
Mexico,Latin America,0.6060625000000001,14.0855,40.585625,29.9668
Moldova,Eastern Europe,0.55525,4.7373,46.508125,19.257916666666667
Mongolia,Eastern Europe,0.67025,5.0212,55.2284375,10.822
Montenegro,Eastern Europe,0.4686666666666667,11.3145,44.41458333333333,17.438125
Morocco,Middle East,0.238625,5.8996,24.3465625,12.3568
Mozambique,Africa,0.40303125,1.1361333333333334,82.8184375,35.86086956521739
Namibia,Africa,0.65490625,7.354266666666667,51.0109375,30.229166666666668
Nepal,Asia,0.4259375,1.7447,23.6134375,20.245416666666664
Netherlands,The West,0.86746875,40.65743333333334,54.919375,37.0668
New Zealand,The West,0.88853125,30.189566666666668,60.152499999999996,33.5032
Nicaragua,Latin America,0.5100312499999999,3.7178666666666667,40.54875,29.192083333333333
Niger,Africa,0.505,1.0070333333333332,66.898125,11.025652173913043
Nigeria,Africa,0.4055625,2.921333333333333,55.2865625,5.609090909090909
North Korea,Asia,0.08628125,1.8979333333333333,69.1840625,18.04875
North Macedonia,Eastern Europe,0.4904193548387097,9.610068965517241,43.07419354838709,25.9692
Norway,The West,0.8930625,50.313233333333336,60.1671875,38.688
Oman,Middle East,0.11390625,22.600433333333335,25.697499999999998,1.3166666666666667
Pakistan,Asia,0.375375,3.5383666666666667,18.5940625,19.473181818181818
Palestine/Gaza,Middle East,0.1388,NA,16.376666666666665,NA
Palestine/West Bank,Middle East,0.31575,NA,NA,NA
Panama,Latin America,0.72203125,13.973666666666666,45.815,14.30125
Papua New Guinea,Asia,0.47290625,3.0769,58.855312500000004,1.28875
Paraguay,Latin America,0.56134375,6.696466666666667,54.4565625,10.9375
Peru,Latin America,0.6474375,7.1591,61.03,23.129583333333333
Philippines,Asia,0.52575,4.867933333333333,47.12,21.2244
Poland,Eastern Europe,0.83253125,16.464166666666667,49.5265625,21.8632
Portugal,The West,0.88196875,23.999466666666667,53.009375,26.7992
Qatar,Middle East,0.05375,68.33226666666667,50.15,2.7175
Republic of the Congo,Africa,0.26765625,3.2582,66.6390625,9.20304347826087
Romania,Eastern Europe,0.63784375,11.1931,51.5865625,13.077916666666667
Russia,Eastern Europe,0.34503125,18.1644,55.2390625,12.34125
Rwanda,Africa,0.19240625,1.3803,53.1496875,48.5896
Sao Tome and Principe,Africa,0.65090625,2.4899,37.3684375,13.105416666666667
Saudi Arabia,Middle East,0.01671875,27.898033333333334,18.621875,9.412105263157896
Senegal,Africa,0.6721874999999999,2.4878666666666667,34.0525,27.926000000000002
Serbia,Eastern Europe,0.4391875,9.140466666666667,45.9221875,29.503125
Seychelles,Africa,0.41834375,20.3941,NA,28.53
Sierra Leone,Africa,0.409625,1.3670666666666667,60.7484375,12.433181818181819
Singapore,Asia,0.37921875,46.90326666666667,54.949687499999996,19.1336
Slovakia,Eastern Europe,0.8178620689655172,21.30185185185185,51.85310344827586,17.9208
Slovenia,Eastern Europe,0.8322499999999999,26.403533333333332,52.2915625,20.832916666666666
Solomon Islands,Asia,0.52825,2.2881666666666667,82.14875,1.6791304347826086
Somalia,Africa,0.17559375,1.6683,20.981875,14.356875
Somaliland,Africa,0.3215806451612903,NA,NA,NA
South Africa,Africa,0.67253125,9.943999999999999,50.93,37.3132
South Korea,Asia,0.78715625,27.885566666666666,50.0325,12.6212
South Sudan,Africa,0.1801818181818182,22.4,69.87272727272727,27.92818181818182
South Yemen,Middle East,0.128,1.738,NA,NA
Spain,The West,0.88321875,29.7797,45.045,35.0332
Sri Lanka,Asia,0.5105625,7.3809,35.864375,5.35695652173913
Sudan,Africa,0.18109375,2.9686,28.0915625,19.127
Suriname,Latin America,0.76771875,9.670133333333334,38.175625,20.669583333333332
Sweden,The West,0.917375,39.268233333333335,59.70125,44.778800000000004
Switzerland,The West,0.8912187500000001,46.372,59.6559375,28.9
Syria,Middle East,0.14496875,4.2329,17.110625,11.76
Taiwan,Asia,0.6830625,36.36306666666667,NA,NA
Tajikistan,Eastern Europe,0.21684375,2.6106,31.0134375,15.896
Tanzania,Africa,0.44065624999999997,1.6482333333333332,83.234375,30.09521739130435
Thailand,Asia,0.366375,11.4087,64.001875,10.0328
The Gambia,Africa,0.30828125,2.2424666666666666,49.3,8.0744
Timor-Leste,Asia,0.43043750000000003,2.741966666666667,62.308749999999996,32.561
Togo,Africa,0.3575625,1.4003,55.17125,11.278749999999999
Trinidad and Tobago,Latin America,0.7635000000000001,22.5607,48.230625,23.837916666666665
Tunisia,Middle East,0.3594375,8.839133333333333,24.4259375,22.0528
Turkey,Middle East,0.51984375,15.108466666666667,29.0578125,10.095
Turkmenistan,Eastern Europe,0.12719354838709676,11.725066666666667,51.738125,21.619545454545456
Uganda,Africa,0.30515625,1.4859666666666667,64.703125,29.1328
Ukraine,Eastern Europe,0.4766875,8.214166666666667,51.9090625,10.155652173913044
United Arab Emirates,Middle East,0.05309375,79.51286666666667,40.1475,16.2
United Kingdom,The West,0.8537812499999999,34.4983,55.2653125,23.1128
United States of America,The West,0.87040625,50.6664,57.3165625,17.685
Uruguay,Latin America,0.8771875,14.983866666666668,51.37375,13.978399999999999
Uzbekistan,Eastern Europe,0.17425000000000002,6.354866666666667,72.3725,16.872916666666665
Vanuatu,Asia,0.6615,3.0820333333333334,60.51625,1.4221739130434783
Venezuela,Latin America,0.497625,9.773633333333333,47.7884375,15.819583333333332
Vietnam,Asia,0.17315624999999998,3.6304666666666665,71.124375,26.2276
Yemen,Middle East,0.2578125,2.4713333333333334,12.8809375,0.33083333333333337
Zambia,Africa,0.456625,2.0582333333333334,51.971875,13.344
Zanzibar,Africa,0.2635,NA,NA,NA
Zimbabwe,Africa,0.28428125,2.8992,60.54625,20.0764
