event_id,date,gov_deaths,rebel_deaths,civilian_deaths,deaths,where_coordinates,geometry
389678,2021-03-29T00:00:00Z,0,0,1,1,Ta'izz town,"c(44.020908, 13.579522)"
391842,2021-03-29T00:00:00Z,25,0,0,25,Kassara checkpoint,"c(45.126389, 15.544167)"
389679,2021-03-30T00:00:00Z,0,0,1,1,Marib town,"c(45.325301, 15.460977)"
394339,2021-04-02T00:00:00Z,0,0,1,1,Hajdah town,"c(43.819796, 13.586279)"
391363,2021-04-03T00:00:00Z,0,0,1,1,Marib town,"c(45.325301, 15.460977)"
391365,2021-04-03T00:00:00Z,0,0,1,1,Jufaynah village,"c(45.279322, 15.420164)"
394329,2021-04-04T00:00:00Z,0,0,3,3,Ar Raqw village,"c(43.202825, 17.255265)"
396915,2021-04-06T00:00:00Z,7,2,0,9,Ahkum area,"c(44.2113, 13.24217)"
394330,2021-04-06T00:00:00Z,0,0,1,1,Ḑabū‘ah village,"c(44.54143, 15.79469)"
394345,2021-04-08T00:00:00Z,0,0,1,1,Qa‘ţabah town,"c(44.705805, 13.854933)"
394347,2021-04-08T00:00:00Z,0,0,1,1,Shakhab village,"c(44.669102, 13.858678)"
394342,2021-04-09T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
394353,2021-04-09T00:00:00Z,0,0,1,1,Ahkum area,"c(44.2113, 13.24217)"
394400,2021-04-09T00:00:00Z,0,0,1,1,Ta'izz town,"c(44.020908, 13.579522)"
395594,2021-04-09T00:00:00Z,35,26,0,61,Mashjah area,"c(45.08406, 15.465293)"
395608,2021-04-10T00:00:00Z,15,9,0,24,Mashjah area,"c(45.08406, 15.465293)"
395609,2021-04-10T00:00:00Z,15,8,0,23,Jabal Murād mountain,"c(45.162222, 15.043889)"
395610,2021-04-10T00:00:00Z,14,9,0,23,Kassara checkpoint,"c(45.126389, 15.544167)"
396936,2021-04-10T00:00:00Z,15,0,0,15,Jabal Murād mountain,"c(45.162222, 15.043889)"
394344,2021-04-10T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
394373,2021-04-11T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
396949,2021-04-12T00:00:00Z,12,0,0,12,Mashjah area,"c(45.08406, 15.465293)"
396952,2021-04-13T00:00:00Z,19,11,0,30,Jufra base,"c(44.794281, 15.741253)"
395638,2021-04-14T00:00:00Z,60,36,0,96,Kassara checkpoint,"c(45.126389, 15.544167)"
394385,2021-04-14T00:00:00Z,0,0,2,2,Ar Raqw village,"c(43.202825, 17.255265)"
394387,2021-04-15T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
394462,2021-04-17T00:00:00Z,0,0,2,2,Dhubāb town,"c(43.410245, 12.943051)"
394556,2021-04-19T00:00:00Z,0,0,1,1,Khadīr as Silmī subdistrict,"c(44.18029, 13.4888)"
397005,2021-04-19T00:00:00Z,1,0,0,1,Kassara checkpoint,"c(45.126389, 15.544167)"
396997,2021-04-21T00:00:00Z,28,0,0,28,Kassara checkpoint,"c(45.126389, 15.544167)"
397002,2021-04-21T00:00:00Z,1,0,0,1,Madghil al Jid‘ān town,"c(45.04013, 15.59858)"
397011,2021-04-22T00:00:00Z,16,0,0,16,Mashjah area,"c(45.08406, 15.465293)"
397017,2021-04-22T00:00:00Z,2,0,0,2,Mashjah area,"c(45.08406, 15.465293)"
395651,2021-04-24T00:00:00Z,12,2,0,14,Al-Mil area,"c(45.283269, 15.505662)"
395670,2021-04-25T00:00:00Z,27,24,0,51,Mashjah area,"c(45.08406, 15.465293)"
395715,2021-04-26T00:00:00Z,40,27,0,67,Al-Talat al-Hamra hills,"c(45.1697, 15.4539)"
410703,2021-04-28T00:00:00Z,0,4,0,4,Sahn al-Jinn base,"c(45.326667, 15.506111)"
394565,2021-04-28T00:00:00Z,0,0,2,2,Sayl village,"c(43.762778, 13.457778)"
394568,2021-04-28T00:00:00Z,0,0,3,3,Barāḩ al Qays village,"c(43.345278, 14.841389)"
395734,2021-05-03T00:00:00Z,23,0,0,23,Mashjah area,"c(45.08406, 15.465293)"
410736,2021-05-04T00:00:00Z,2,2,0,4,Jadafir front,"c(45.1987, 15.901)"
402868,2021-05-06T00:00:00Z,0,0,3,3,Ar Raqw village,"c(43.202825, 17.255265)"
402876,2021-05-07T00:00:00Z,0,0,7,7,As Saḩārī village,"c(44.74712, 15.88192)"
401992,2021-05-07T00:00:00Z,27,17,0,44,Jabal al Khashar mountain,"c(45.207044, 15.513651)"
402879,2021-05-08T00:00:00Z,0,0,4,4,Al Jāḩ village,"c(43.052881, 14.340932)"
402880,2021-05-08T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
401993,2021-05-09T00:00:00Z,0,0,1,1,Ar Raqw village,"c(43.202825, 17.255265)"
402001,2021-05-10T00:00:00Z,0,0,1,1,Al Maklah village,"c(44.92162, 14.38019)"
